,POSTCODE,COORDS,PERUS
76691,960,POINT (25508182.9805768 6678299.334071893),704
76692,960,POINT (25508241.69942826 6678310.117248402),704
76693,960,POINT (25508241.69942826 6678310.117248402),704
76694,960,POINT (25508241.69942826 6678310.117248402),704
76695,960,POINT (25508241.69942826 6678310.117248402),704
76696,960,POINT (25508271.75502148 6678276.002525896),704
76697,960,POINT (25508277.77993116 6678308.204333125),704
76698,960,POINT (25508220.85586113 6678337.501069949),704
76699,960,POINT (25508220.85586113 6678337.501069949),704
76700,960,POINT (25508220.85586113 6678337.501069949),704
76701,960,POINT (25508220.85586113 6678337.501069949),704
76702,960,POINT (25508210.67458659 6678376.228820061),704
76703,960,POINT (25508250.51346854 6678349.41137465),704
76704,960,POINT (25508261.90332808 6678369.770557795),704
76705,960,POINT (25508240.21206627 6678392.127478983),704
76706,960,POINT (25508251.60184882 6678412.486631304),704
76707,960,POINT (25508242.57355328 6678446.236585306),704
76708,960,POINT (25508180.43337938 6678449.361640188),704
76709,960,POINT (25508200.61307687 6678510.017315128),704
76710,960,POINT (25508200.61307687 6678510.017315128),704
76711,960,POINT (25508310.04779346 6678630.415648488),704
76712,960,POINT (25508346.70513375 6678675.567023909),704
76713,960,POINT (25508373.79431164 6678706.402134581),704
76714,960,POINT (25508339.67827699 6678643.329374685),704
76715,960,POINT (25508339.67594493 6678610.305546162),704
76716,960,POINT (25508339.67594493 6678610.305546162),704
76717,960,POINT (25508376.36670082 6678621.419580073),704
76718,960,POINT (25508408.14792835 6678629.391896457),704
76719,960,POINT (25508413.20895021 6678660.566701679),704
76720,960,POINT (25508398.1830262 6678595.063898557),704
76721,960,POINT (25508398.1830262 6678595.063898557),704
76722,960,POINT (25508398.1830262 6678595.063898557),704
76723,960,POINT (25508434.17629794 6678596.149434082),704
76724,960,POINT (25508434.17629794 6678596.149434082),704
76725,960,POINT (25508434.17629794 6678596.149434082),704
76726,960,POINT (25508444.17365001 6678563.427208823),704
76727,960,POINT (25508444.17365001 6678563.427208823),704
76728,960,POINT (25508444.17365001 6678563.427208823),704
76729,960,POINT (25508413.87535072 6678539.492020886),704
76730,960,POINT (25508413.87535072 6678539.492020886),704
